232	203
233	203
240	204
241	206
238	213
233	221
232	219
230	208
230	204
232	204
237	205
238	209
235	211
228	212
228	138
227	138
225	141
211	144
206	146
196	150
194	152
190	157
185	165
181	174
179	182
179	193
179	202
179	218
179	228
179	240
186	252
197	261
207	268
225	272
235	270
258	271
276	266
286	266
297	260
300	254
302	241
303	222
305	206
304	193
300	184
287	171
283	162
280	156
274	149
260	143
245	144
241	144
224	148
222	146
220	146
243	55
242	55
221	61
198	65
188	66
177	68
164	80
146	95
140	100
130	113
128	120
120	134
118	148
118	163
117	179
117	196
117	214
119	233
124	255
127	275
130	291
140	309
150	320
161	326
177	331
196	335
214	339
232	343
250	341
276	339
287	335
304	333
313	333
333	322
341	316
343	314
353	306
367	292
371	286
376	271
378	258
384	247
386	241
391	227
391	216
389	204
383	183
382	174
381	163
379	150
379	138
370	120
358	112
352	109
350	108
343	103
336	96
327	84
322	81
309	75
292	64
280	58
271	58
260	60
256	60
252	59
242	61
241	61
238	62
235	60
224	59
