180	130
180	128
163	133
155	150
156	170
162	185
174	184
193	171
200	153
193	137
186	133
168	141
161	154
162	176
169	187
183	184
197	169
198	142
183	137
175	151
174	170
174	193
178	186
186	159
184	149
177	148
168	162
174	176
187	168
193	154
189	152
191	160
299	127
298	128
285	145
286	168
287	186
296	187
321	178
329	164
332	148
323	134
309	139
298	149
297	165
298	181
310	178
318	159
306	148
302	147
296	157
296	168
302	167
309	157
309	154
308	155
299	156
299	153
87	175
86	186
86	211
91	225
98	243
100	251
100	252
113	271
113	272
114	272
144	282
151	298
168	306
169	306
175	306
176	308
209	314
209	315
209	317
209	317
210	317
225	317
235	316
239	318
267	307
282	307
300	300
300	301
297	306
320	291
319	291
319	290
343	275
342	276
361	256
362	256
363	256
374	242
374	241
383	216
382	216
380	216
385	192
384	192
387	168
386	168
389	152
86	165
86	166
86	168
