167	108
170	108
177	108
180	109
188	112
192	119
197	120
203	123
207	132
207	139
208	150
208	160
208	169
202	176
198	177
191	177
176	180
167	180
162	180
153	178
145	176
132	172
114	166
97	163
86	161
72	162
67	163
62	171
60	175
58	182
58	186
58	192
56	196
56	201
56	206
60	206
208	232
206	232
192	232
183	233
175	233
163	234
158	234
150	238
144	239
138	244
135	249
131	259
130	267
130	278
130	289
130	302
130	312
133	328
138	337
148	341
169	352
174	354
184	355
188	356
193	356
198	356
206	357
216	356
227	353
234	351
245	348
252	346
259	342
261	338
266	336
269	327
269	325
271	324
271	322
158	349
131	322
195	290
195	289
195	281
198	278
198	273
199	272
208	272
210	272
213	272
216	272
216	274
219	276
223	276
224	276
227	277
229	280
232	282
233	283
233	281
240	276
243	272
243	270
243	268
243	267
244	262
245	260
248	258
252	257
255	257
258	257
263	257
266	257
270	261
279	264
283	267
290	268
305	268
314	268
316	268
325	269
338	270
343	271
346	271
354	268
361	265
369	264
373	261
379	258
381	256
382	254
391	249
401	242
411	235
417	228
417	222
415	215
415	210
411	206
411	204
406	198
403	194
400	187
398	185
392	181
386	178
381	175
353	175
361	172
361	173
361	174
360	175
372	177
294	271
336	270
331	270
330	270
