66	93
65	93
76	73
87	80
98	81
98	89
99	99
94	110
89	117
82	118
68	121
68	116
64	98
67	83
68	82
75	86
85	93
90	105
90	112
85	112
68	108
66	100
66	93
75	89
82	89
84	100
84	107
80	107
77	104
77	100
154	105
154	104
153	94
153	88
155	82
166	77
175	74
179	82
182	95
184	107
178	114
165	115
155	111
145	101
143	93
151	72
155	71
165	73
166	86
167	93
163	96
156	96
151	93
161	89
173	106
169	107
169	108
168	112
168	111
316	283
316	282
317	275
352	278
355	287
354	300
348	307
340	310
336	313
331	312
322	302
320	294
320	281
325	273
344	268
351	266
351	279
351	291
349	305
345	310
334	303
322	292
322	287
333	284
346	280
346	284
345	291
340	295
337	294
334	279
334	276
337	280
337	293
338	295
333	295
333	290
337	289
340	287
